clusterName,binary_genes,rf_feature_importance,cluster_median,binary_score
Astrocytes,SERPINA10,0.006560024717164562,0.7589808728473797,0.9759590437445856
Astrocytes,AQP4,0.01086560190089288,1.0635630944914958,0.9657842842087102
Astrocytes,GPR156,0.004573421233630659,0.7735478519930828,0.9657618665076384
Astrocytes,PCK1,0.006116111441466822,0.8954446783158297,0.9581685289355453
Astrocytes,HOPX,0.008786432681983978,0.9120534803312369,0.9570154862513774
Astrocytes,ASL,0.014389561641282569,1.2797408039145184,0.9524025814202289
Astrocytes,MLC1,0.026835545956293793,1.9964054483324272,0.9495939212427584
Astrocytes,KCNJ16,0.03143642175327301,2.897715634100522,0.9478012637155925
Astrocytes,ACOT12,0.004248672994278936,0.8946940978739462,0.9446644888529104
Astrocytes,LOC110084293,0.008082799048785241,1.6330082748763406,0.9445976042714729
Astrocytes,RFTN2,0.012726754657273149,1.22186785278477,0.9441598720546597
Astrocytes,AQP1,0.0068609519788271345,1.1363791512199402,0.9440507445953893
Astrocytes,BCAN,0.007999500632796721,1.3120830536670147,0.9378826644910891
Astrocytes,FGFR3,0.020471260862163037,1.918436848855528,0.9371490311683977
Astrocytes,GPR37L1,0.01355406400272063,1.9693100948069358,0.935684044827043
Astrocytes,LOC110074168,0.004542381818706782,0.7284151469896455,0.9353842248675281
Astrocytes,GJA1,0.037945029314099564,2.6707670773725893,0.9353178527826183
Astrocytes,S1PR1,0.008614166770549091,0.8602745025823849,0.9343867621494446
Astrocytes,RCN3,0.036156300212579574,2.649041159695089,0.9343770259478904
Astrocytes,RPE65,0.007656433507456889,1.34001928186087,0.9332003479495202
Astrocytes,LFNG,0.02063148212380607,2.079903918494125,0.932766020082834
Astrocytes,LOC110080488,0.00448675455816915,0.7397198676738689,0.9293599674982719
Astrocytes,PBXIP1,0.006799960862998561,0.8403789478503815,0.9279740255697926
Astrocytes,LOC110088229,0.05196304034038579,4.001583160285837,0.9274823023118364
Astrocytes,SOX9,0.014428070765347386,1.4533232419413147,0.9150416565738381
Astrocytes,GFAP,0.008334225882424686,1.2125152206459244,0.9148363184534096
Astrocytes,CXCL14,0.026728033054301187,2.920891965854125,0.9092290161999831
Astrocytes,KCNJ10,0.00530189665643082,1.6735535585263326,0.902878831582474
Astrocytes,NRARP,0.004531765348971304,1.0981127178286383,0.8969957104099581
Astrocytes,LOC110091322,0.027035030011900354,2.74320536495568,0.8941880420180239
Astrocytes,LOC110081459,0.020581392014585965,2.4755247166535264,0.8931333035288456
Astrocytes,SLC1A3,0.048198767182098985,3.625404177844081,0.8850676911522183
Astrocytes,CSRP2,0.007480707483716069,1.0718674778233244,0.8756167679120437
Astrocytes,ID4,0.03232312258082126,2.7985351046784754,0.8732241848218858
Astrocytes,LOC110087437,0.040168518085700024,3.1134794301528546,0.8684395681074217
Astrocytes,TIMP1,0.014167193847497999,1.9046425325522789,0.8590014043529914
Astrocytes,FABP7,0.022122035295894987,2.540053026060422,0.8570007385510945
Astrocytes,WLS,0.003950462240903539,1.0218409124005507,0.8506185576021148
Astrocytes,ACSL6,0.00541466926659784,1.3311534884877865,0.8261791545228379
Astrocytes,S100A1,0.007857752892147228,2.081707734268353,0.8199690893880806
Astrocytes,PTPRZ1,0.008067673327379512,2.48107374455843,0.8173319093142031
Astrocytes,GLUD1,0.009391017164841711,1.945565026891632,0.8105910078937584
Astrocytes,SPARC,0.006848136555769224,1.1321291292720337,0.7995908816264442
Astrocytes,SLC1A4,0.004418801806344931,1.3350624975676089,0.7974185064931676
Astrocytes,SLC1A2,0.014048528570088835,2.946198171432404,0.7973969129697777
Astrocytes,MSMO1,0.010315490065222256,2.412499906780916,0.781085730101977
Astrocytes,LOC110083899,0.022744636427947367,2.791336714136126,0.7792272699710188
Astrocytes,ACBD7,0.021748177814802302,2.3760570746714023,0.775518239368698
Astrocytes,APOE,0.004859052746946236,3.327432690074012,0.7537097584612685
Astrocytes,GAPDH,0.012141510412631075,2.381067572878578,0.7533986259765139
Choroid plexus epithelial cells,SLC13A1,0.028132289244199877,0.5745779972186951,0.9994792874349004
Choroid plexus epithelial cells,TMEM27,0.029805336889524636,0.7555936896763232,0.9993973414387716
Choroid plexus epithelial cells,PMEL,0.06470804580396977,1.8207252610374924,0.9993196485833532
Choroid plexus epithelial cells,LOC110082071,0.012522359641121755,0.3316131769429848,0.9992425049298783
Choroid plexus epithelial cells,MFRP,0.04683947331464131,1.4366144669551124,0.9991855245837645
Choroid plexus epithelial cells,NEU4,0.0030900936881660757,0.09738178180028757,0.9991122135978221
Choroid plexus epithelial cells,SLC6A20,0.025502533174369943,0.7758682672228181,0.998533764607096
Choroid plexus epithelial cells,SLC16A8,0.014446654341047974,0.6351157770202935,0.9974923963064242
Choroid plexus epithelial cells,RBP1,0.012557766095577825,0.7365978131518984,0.9968378824261352
Choroid plexus epithelial cells,LOC110069902,0.0032957196612576796,0.09260841037525733,0.9956733087680449
Choroid plexus epithelial cells,SLCO1C1,0.014007018163368369,1.273551622747358,0.9950515732210259
Choroid plexus epithelial cells,ATP2C2,0.0050932794735673885,0.2935706430475968,0.9939911804495012
Choroid plexus epithelial cells,SLC26A9,0.0031669391478740642,0.28541690416138626,0.9930370987251749
Choroid plexus epithelial cells,LOC110087195,0.010950505884063114,0.4884987162368251,0.9901469693304668
Choroid plexus epithelial cells,LMX1A,0.008491634896658277,0.6486286315315243,0.9886752874416466
Choroid plexus epithelial cells,MGP,0.057911806999579436,3.667061771663131,0.9846107875611788
