,0
Astrocytes,1253
Choroid plexus epithelial cells,1203
Diencephalon GABAergic neurons,692
Diencephalon glutamatergic neurons,790
Dopaminergic neurons,613
Ependymal cells,1286
Erythrocytes,290
Fibroblasts,1443
Mesencephalon GABAergic neurons,854
Mesencephalon glutamatergic neurons,794
Microglia,1031
Peptidergic neurons,635
Photoreceptor cells,810
Rhombencephalon GABAergic neurons,631
Telencephalon GABAergic neurons,680
Telencephalon glutamatergic neurons,857
Vascular cells,1685
