,0
Astrocytes,112
Choroid plexus epithelial cells,69
Diencephalon GABAergic neurons,67
Diencephalon glutamatergic neurons,64
Dopaminergic neurons,65
Ependymal cells,90
Erythrocytes,33
Fibroblasts,107
Mesencephalon GABAergic neurons,101
Mesencephalon glutamatergic neurons,82
Microglia,82
Peptidergic neurons,64
Photoreceptor cells,64
Rhombencephalon GABAergic neurons,77
Telencephalon GABAergic neurons,73
Telencephalon glutamatergic neurons,67
Vascular cells,144
