Cluster	Cell number	Major labelling of reference	ratio of Major labelling of reference	subtype labelling of reference	ratio of subtype labelling of reference	Refined family	Refined subtype
311	148	Peptidergic neurons	1.000	HYPEP5	0.709	Peptidergic neurons	DePep_311
310	240	Peptidergic neurons	0.913	DEINH8	0.217	Diencephalon GABAergic neurons	DeInh_310
60	253	Peptidergic neurons	0.988	DEINH7	0.577	Diencephalon GABAergic neurons	DeInh_60
338	169	Di- and mesencephalon excitatory neurons	0.343	DEGLU3	0.083	Mixture	Mixture_338
87	297	Di- and mesencephalon excitatory neurons	0.397	DEGLU3	0.064	Mixture	Mixture_87
88	183	Telencephalon inhibitory interneurons	0.705	TEINH17	0.514	Telencephalon GABAergic neurons	TeInh_88
86	289	Telencephalon inhibitory interneurons	0.986	TEINH15	0.471	Telencephalon GABAergic neurons	TeInh_CGE_86
316	220	Telencephalon inhibitory interneurons	1.000	TEINH16	0.582	Telencephalon GABAergic neurons	TeInh_MGE_316
263	1252	Telencephalon inhibitory interneurons	0.998	TEINH15	0.653	Telencephalon GABAergic neurons	TeInh_CGE_263
264	348	Telencephalon inhibitory interneurons	1.000	TEINH16	0.983	Telencephalon GABAergic neurons	TeInh_MGE_264
313	174	Telencephalon inhibitory interneurons	1.000	TEINH9	0.552	Telencephalon GABAergic neurons	TeInh_CGE_313
213	212	Telencephalon inhibitory interneurons	1.000	TEINH10	0.571	Telencephalon GABAergic neurons	TeInh_CGE_213
262	560	Telencephalon inhibitory interneurons	1.000	TEINH10	0.514	Telencephalon GABAergic neurons	TeInh_CGE_262
261	177	Telencephalon inhibitory interneurons	1.000	TEINH11	0.819	Telencephalon GABAergic neurons	TeInh_CGE_261
215	314	Telencephalon inhibitory interneurons	1.000	TEINH12	0.796	Telencephalon GABAergic neurons	TeInh_CGE_215
214	237	Telencephalon inhibitory interneurons	1.000	TEINH11	0.987	Telencephalon GABAergic neurons	TeInh_CGE_214
260	207	Telencephalon inhibitory interneurons	1.000	TEINH11	0.739	Telencephalon GABAergic neurons	TeInh_CGE_260
315	137	Telencephalon inhibitory interneurons	1.000	TEINH7	0.423	Telencephalon GABAergic neurons	TeInh_315
257	350	Telencephalon inhibitory interneurons	0.994	TEINH13	0.306	Telencephalon GABAergic neurons	TeInh_257
320	189	Telencephalon inhibitory interneurons	0.995	TEINH6	0.540	Telencephalon GABAergic neurons	TeInh_320
322	288	Telencephalon inhibitory interneurons	1.000	TEINH5	0.823	Telencephalon GABAergic neurons	TeInh_322
323	273	Telencephalon inhibitory interneurons	1.000	TEINH4	0.802	Telencephalon GABAergic neurons	TeInh_323
254	321	Telencephalon inhibitory interneurons	1.000	TEINH21	0.938	Telencephalon GABAergic neurons	TeInh_254
212	482	Telencephalon inhibitory interneurons	1.000	TEINH19	0.963	Telencephalon GABAergic neurons	TeInh_212
253	314	Telencephalon inhibitory interneurons	1.000	TEINH19	1.000	Telencephalon GABAergic neurons	TeInh_253
336	484	Telencephalon inhibitory interneurons	0.965	TEINH19	0.331	Telencephalon GABAergic neurons	TeInh_336
211	416	Telencephalon inhibitory interneurons	0.962	TEINH17	0.750	Telencephalon GABAergic neurons	TeInh_211
256	370	Telencephalon inhibitory interneurons	0.997	TEINH18	0.873	Telencephalon GABAergic neurons	TeInh_256
244	749	Di- and mesencephalon excitatory neurons	1.000	DEGLU3	0.971	Diencephalon glutamatergic neurons	DeExc_Thalamus_244
245	202	Di- and mesencephalon excitatory neurons	1.000	DEGLU3	0.866	Diencephalon glutamatergic neurons	DeExc_Thalamus_245
246	225	Di- and mesencephalon excitatory neurons	1.000	DEGLU2	0.964	Diencephalon glutamatergic neurons	DeExc_Hypothalamus_246
247	1067	Di- and mesencephalon excitatory neurons	1.000	DEGLU1	0.907	Diencephalon glutamatergic neurons	DeExc_Thalamus_247
265	925	Di- and mesencephalon inhibitory neurons	0.998	MEINH10	0.792	Mesencephalon GABAergic neurons	MeInh_265
328	186	Di- and mesencephalon inhibitory neurons	1.000	MEINH9	0.892	Mesencephalon GABAergic neurons	MeInh_328
337	247	Olfactory inhibitory neurons	0.239	OBINH2	0.126	Mixture	Mixture_337
273	249	Di- and mesencephalon excitatory neurons	0.542	OBNBL1	0.253	Neuroblasts	NB_273
329	153	Glutamatergic neuroblasts	0.922	SEPNBL	0.503	Neuroblasts	NB_329
269	309	Telencephalon inhibitory interneurons	1.000	DEINH1	0.644	Telencephalon GABAergic neurons	TeInh_269
270	994	Peptidergic neurons	0.916	TEINH2	0.908	Mesencephalon glutamatergic neurons	MeExc_270
271	379	Di- and mesencephalon excitatory neurons	0.997	MEGLU5	0.446	Mesencephalon glutamatergic neurons	MeExc_271
275	207	Di- and mesencephalon excitatory neurons	0.995	MEGLU11	0.768	Mesencephalon glutamatergic neurons	MeExc_275
276	759	Di- and mesencephalon excitatory neurons	0.910	MEGLU10	0.274	Mesencephalon glutamatergic neurons	MeExc_276
277	667	Di- and mesencephalon excitatory neurons	0.979	MEGLU8	0.280	Mesencephalon glutamatergic neurons	De/MeExc_277
63	3002	Peptidergic neurons	0.262	TEINH2	0.099	Mixture	Mixture_63
210	231	Di- and mesencephalon inhibitory neurons	0.710	TEINH1	0.329	Diencephalon GABAergic neurons	DeInh_210
280	1048	Di- and mesencephalon inhibitory neurons	0.645	TEINH1	0.219	Diencephalon GABAergic neurons	DeInh_280
278	781	Di- and mesencephalon inhibitory neurons	0.878	MEINH2	0.362	Mesencephalon GABAergic neurons	De/MeInh_278
287	478	Di- and mesencephalon excitatory neurons	0.948	DEGLU5	0.473	Mesencephalon GABAergic neurons	De/MeInh_287
268	264	Hindbrain neurons	0.754	HBGLU6	0.295	Rhombencephalon glutamatergic neurons	ReExc_268
266	460	Di- and mesencephalon excitatory neurons	0.530	HBGLU2	0.272	Rhombencephalon glutamatergic neurons	ReExc_266
267	366	Di- and mesencephalon inhibitory neurons	0.429	HBINH5	0.426	Rhombencephalon GABAergic neurons	ReInh_267
208	117	Cholinergic and monoaminergic neurons	1.000	DECHO1	0.624	Diencephalon cholinergic neurons	DeChol_208
209	262	Cholinergic and monoaminergic neurons	0.893	HBCHO3	0.214	Rhombencephalon cholinergic neurons	ReChol_209
272	303	Cholinergic and monoaminergic neurons	0.614	MBDOP2	0.129	Mesencephalon cholinergic neurons	MeChol_272
395	2189	Microglia	1.000	MGL1	0.936	Microglia	Microglia_395
404	2402	Microglia	1.000	MGL2	0.591	Microglia	Microglia_404
407	404	Perivascular macrophages	1.000	PVM2	0.894	Immune cells	Imm_407
406	692	Perivascular macrophages	0.999	PVM1	0.909	Immune cells	Imm_406
409	707	Perivascular macrophages	1.000	PVM1	0.775	Immune cells	Imm_409
457	129	Vascular and leptomeningeal cells	1.000	ABC	0.992	Vascular cells	Vasc_457
460	485	Vascular and leptomeningeal cells	0.992	VLMC1	0.934	Vascular cells	Vasc_460
461	202	Vascular and leptomeningeal cells	1.000	VLMC1	0.856	Vascular cells	Vasc_461
458	283	Vascular and leptomeningeal cells	1.000	VLMC2	0.996	Vascular cells	Vasc_458
459	270	Vascular and leptomeningeal cells	1.000	VLMC2	0.989	Vascular cells	Vasc_459
421	396	Pericytes	0.369	PER1	0.356	Vascular cells	Vasc_421
424	207	Pericytes	0.947	PER1	0.947	Vascular cells	Vasc_424
417	1441	Vascular endothelial cells	0.919	VECV	0.870	Vascular cells	Vasc_417
419	457	Pericytes	0.978	PER2	0.580	Vascular cells	Vasc_419
426	3066	Pericytes	0.964	PER1	0.926	Vascular cells	Vasc_426
412	340	Vascular endothelial cells	0.979	VECC	0.897	Vascular cells	Vasc_412
413	367	Vascular endothelial cells	0.992	VECC	0.992	Vascular cells	Vasc_413
450	282	Vascular smooth muscle cells	0.762	PER3	0.727	Vascular cells	Vasc_450
452	749	Vascular smooth muscle cells	0.995	VSMCA	0.985	Vascular cells	Vasc_452
456	304	Vascular smooth muscle cells	1.000	VSMCA	0.997	Vascular cells	Vasc_456
392	719	Oligodendrocytes	0.999	COP1	0.529	Oligodendrocytes	Oligo_392
356	343	Oligodendrocytes	1.000	NFOL1	0.644	Oligodendrocytes	Oligo_356
341	157	Oligodendrocytes	1.000	NFOL1	1.000	Oligodendrocytes	Oligo_341
359	722	Oligodendrocytes	1.000	NFOL1	0.974	Oligodendrocytes	Oligo_359
382	669	Oligodendrocytes	1.000	MFOL2	0.710	Oligodendrocytes	Oligo_382
375	2597	Oligodendrocytes	1.000	MOL1	0.543	Oligodendrocytes	Oligo_375
384	727	Oligodendrocytes	1.000	MFOL2	0.725	Oligodendrocytes	Oligo_384
366	879	Oligodendrocytes	1.000	MOL3	0.555	Oligodendrocytes	Oligo_366
370	856	Oligodendrocytes	0.999	MOL1	0.578	Oligodendrocytes	Oligo_370
367	500	Oligodendrocytes	1.000	MOL2	0.676	Oligodendrocytes	Oligo_367
