Cluster	Cell number	Major labelling of reference	ratio of Major labelling of reference	subtype labelling of reference	ratio of subtype labelling of reference	Refined family	Refined subtype
221	450	Ependymal	1.000	DeHypen1	0.998	Ependymal cells	Epen_221
223	112	Ependymal	1.000	ReEpen1	1.000	Ependymal cells	Epen_223
252	196	Astrocytes	0.995	DeAstro1	0.801	Astrocytes	Ast_252
261	668	Astrocytes	1.000	DMAstro1	0.641	Astrocytes	Ast_261
238	193	Astrocytes	0.528	DeEpen1	0.187	Astrocytes	Ast_238
263	265	Astrocytes	0.600	PeAstro2	0.238	Astrocytes	Ast_263
258	308	Astrocytes	0.886	ReAstro1	0.244	Astrocytes	Ast_258
253	303	Astrocytes	0.997	PeAstro2	0.881	Astrocytes	Ast_253
254	1340	Astrocytes	0.985	PeAstro1	0.849	Astrocytes	Ast_254
240	201	Astrocytes	0.985	PeAstro2	0.677	Astrocytes	Ast_240
256	382	Astrocytes	0.921	PeAstro2	0.728	Astrocytes	Ast_256
259	869	Astrocytes	0.965	MRAstro2	0.829	Astrocytes	Ast_259
224	191	Astrocytes	0.995	PeAstroepen1	0.995	Astrocytes	Ast_224
231	361	Astrocytes	0.992	DeAstroepen2	0.629	Astrocytes	Ast_231
232	211	Astrocytes	0.953	DeAstroepen1	0.616	Astrocytes	Ast_232
230	164	Ependymal	0.902	TeEpen1	0.457	Ependymal cells	Epen_230
229	372	Ependymal	0.978	TeEpen1	0.519	Ependymal cells	Epen_229
226	318	Ependymal	0.994	DeEpen4	0.918	Ependymal cells	Epen_226
228	323	Ependymal	0.994	DeEpen4	0.960	Ependymal cells	Epen_228
225	168	Ependymal	1.000	DeEpen5	0.661	Ependymal cells	Epen_225
237	295	Ependymal	0.997	DMEpen1	0.475	Ependymal cells	Epen_237
304	180	Ependymal	0.972	DMEpen1	0.433	Ependymal cells	Epen_304
235	181	Ependymal	1.000	DMEpen1	1.000	Ependymal cells	Epen_235
236	132	Ependymal	1.000	DMEpen1	0.659	Ependymal cells	Epen_236
233	238	Ependymal	0.836	MREpen1	0.466	Ependymal cells	Epen_233
305	877	Ependymal	0.537	DeHypen1	0.156	Ependymal cells	Epen_305
301	4904	Erythrocytes	0.986	Erythro1	0.973	Erythrocytes	Erythrocytes_301
297	131	Immune	0.847	Lympho1	0.267	Microglia	Microglia_297
295	194	Immune	0.974	Micro1	0.670	Microglia	Microglia_295
312	547	Immune	0.945	Micro1	0.910	Microglia	Microglia_312
314	310	Immune	0.977	Micro1	0.910	Microglia	Microglia_314
296	378	Immune	0.992	Micro1	0.923	Microglia	Microglia_296
318	1440	Immune	1.000	Micro1	0.995	Microglia	Microglia_318
321	524	Immune	0.998	Micro1	0.992	Microglia	Microglia_321
2	263	Vascular	0.989	Vasc1	0.646	Vascular cells	Vasc_2
5	158	Vascular	1.000	Vasc3	0.937	Vascular cells	Vasc_5
6	230	Vascular	0.996	Vasc4	0.974	Vascular cells	Vasc_6
3	383	Vascular	0.987	Vasc3	0.828	Vascular cells	Vasc_3
4	131	Vascular	1.000	Vasc3	0.786	Vascular cells	Vasc_4
37	121	Vascular	0.479	Vasc5	0.479	Vascular cells	Vasc_37
15	644	Meningeal fibroblasts	0.969	Fibro2	0.561	Fibroblasts	Fibro_15
27	1370	Meningeal fibroblasts	1.000	Fibro2	1.000	Fibroblasts	Fibro_27
30	584	Meningeal fibroblasts	0.966	Fibro2	0.916	Fibroblasts	Fibro_30
26	707	Meningeal fibroblasts	0.990	Fibro2	0.989	Fibroblasts	Fibro_26
23	754	Meningeal fibroblasts	1.000	Fibro2	1.000	Fibroblasts	Fibro_23
33	968	Meningeal fibroblasts	0.997	Fibro2	0.997	Fibroblasts	Fibro_33
93	321	Meningeal fibroblasts	0.277	Fibro1	0.255	Mixture	Mixture_93
58	285	Meningeal fibroblasts	1.000	Fibro3	0.551	Fibroblasts	Fibro_58
59	616	Meningeal fibroblasts	0.977	Fibro1	0.942	Fibroblasts	Fibro_59
66	226	Meningeal fibroblasts	0.982	Fibro1	0.973	Fibroblasts	Fibro_66
67	374	Meningeal fibroblasts	0.989	Fibro1	0.840	Fibroblasts	Fibro_67
64	215	Meningeal fibroblasts	0.981	Fibro3	0.888	Fibroblasts	Fibro_64
70	665	Meningeal fibroblasts	0.995	Fibro1	0.995	Fibroblasts	Fibro_70
83	466	Meningeal fibroblasts	0.996	Fibro1	0.996	Fibroblasts	Fibro_83
61	256	Meningeal fibroblasts	0.988	Fibro1	0.953	Fibroblasts	Fibro_61
62	1579	Meningeal fibroblasts	0.994	Fibro1	0.987	Fibroblasts	Fibro_62
63	491	Meningeal fibroblasts	0.992	Fibro1	0.969	Fibroblasts	Fibro_63
60	392	Meningeal fibroblasts	0.995	Fibro1	0.982	Fibroblasts	Fibro_60
73	215	Meningeal fibroblasts	1.000	Fibro1	0.995	Fibroblasts	Fibro_73
76	1077	Meningeal fibroblasts	0.992	Fibro1	0.987	Fibroblasts	Fibro_76
78	1198	Meningeal fibroblasts	0.992	Fibro1	0.950	Fibroblasts	Fibro_78
80	986	Meningeal fibroblasts	0.999	Fibro1	0.944	Fibroblasts	Fibro_80
85	275	Meningeal fibroblasts	0.996	Fibro1	0.996	Fibroblasts	Fibro_85
86	437	Meningeal fibroblasts	1.000	Fibro1	1.000	Fibroblasts	Fibro_86
87	640	Meningeal fibroblasts	0.998	Fibro1	0.998	Fibroblasts	Fibro_87
82	1267	Meningeal fibroblasts	0.998	Fibro1	0.998	Fibroblasts	Fibro_82
89	1038	Meningeal fibroblasts	0.998	Fibro1	0.997	Fibroblasts	Fibro_89
90	314	Meningeal fibroblasts	0.924	Fibro1	0.917	Fibroblasts	Fibro_90
81	481	Meningeal fibroblasts	0.998	Fibro1	0.998	Fibroblasts	Fibro_81
91	240	Meningeal fibroblasts	0.983	Fibro1	0.983	Fibroblasts	Fibro_91
