clusterName,binary_genes,rf_feature_importance,cluster_median,binary_score
Astrocytes,ENSG00000124440,0.10241129000767209,1.4843143906351244,0.9261076235042596
Astrocytes,ENSG00000170370,0.015273777399338143,0.38512012124992284,0.9146616816190833
Astrocytes,ENSG00000115738,0.031038831049606443,0.9269271343151017,0.9028072531173834
Astrocytes,ENSG00000111783,0.1538214410613585,1.859636570576251,0.8954280470776457
Astrocytes,ENSG00000197360,0.009390540404588197,0.5054680981679728,0.8936546214680536
Astrocytes,ENSG00000172201,0.06723197681850128,0.9423643614843823,0.892264411895264
Astrocytes,ENSG00000056487,0.032077907844733654,0.7868604370195493,0.8781276268823931
Astrocytes,ENSG00000153885,0.005727050732634779,0.3295939150082138,0.8733262940012694
Astrocytes,ENSG00000114315,0.0233065733905525,0.584348131968068,0.8709738074359377
Astrocytes,ENSG00000100968,0.00973732130965587,0.29665782448457273,0.8644919387434641
Astrocytes,ENSG00000117318,0.005222235657615838,0.4392740787727982,0.8594070457497762
Astrocytes,ENSG00000007372,0.011085669600013772,0.46614258618748305,0.857997026843099
Astrocytes,ENSG00000172458,0.005624526206767198,0.41765932544726075,0.8511200367882541
Astrocytes,ENSG00000125398,0.029136716432708955,0.7148637163176544,0.8475795183457154
Astrocytes,ENSG00000111907,0.04691301031898192,1.1293582422053425,0.8451542122054952
Astrocytes,ENSG00000116132,0.013238852705102631,0.8960985426879725,0.8321031327113433
Astrocytes,ENSG00000181449,0.012125755252581963,1.00268174694871,0.8260214150479666
Astrocytes,ENSG00000166925,0.010794271540593765,0.9850540205399434,0.8126540681279263
Astrocytes,ENSG00000184486,0.005929164345128377,0.5121259863993922,0.8094726794378434
Astrocytes,ENSG00000113916,0.017637051169175147,0.9094230061850498,0.8031633411397572
Astrocytes,ENSG00000198963,0.03529064227000994,1.349741755253674,0.7950365124928152
Astrocytes,ENSG00000087903,0.02057227615115372,0.7337951174491109,0.773160347919757
Astrocytes,ENSG00000205927,0.005667933072868725,0.031324446563100954,0.761723084151799
Astrocytes,ENSG00000152284,0.02844732638966677,0.704179825740648,0.7554598917212951
Astrocytes,ENSG00000170345,0.004102168529123436,0.5199010879641484,0.7533478207968574
Astrocytes,ENSG00000137693,0.0637294896724159,0.8934394094015976,0.7517645103097192
Astrocytes,ENSG00000107249,0.12775612132565214,2.2754134113622095,0.748035094073228
Astrocytes,ENSG00000110693,0.032497195071771956,1.8133590187650355,0.7313288308642577
Astrocytes,ENSG00000184221,0.01286356625515601,0.09392377262117066,0.7222369540219553
Astrocytes,ENSG00000185650,0.015922684038077155,1.0833244731671754,0.7168382127775044
Choroid plexus epithelial cells,ENSG00000101076,0.0209941204989866,0.2565072858422307,0.9948885939133513
Choroid plexus epithelial cells,ENSG00000162761,0.16294238805276948,1.6417367419110176,0.9889084245425094
Choroid plexus epithelial cells,ENSG00000115112,0.07113160022000012,1.0015921033853847,0.9860987843680145
Choroid plexus epithelial cells,ENSG00000165383,0.009559753474343614,0.06871489469132853,0.980166709793502
Choroid plexus epithelial cells,ENSG00000043039,0.03235501835047265,0.5870733596293269,0.9617889037549935
Choroid plexus epithelial cells,ENSG00000163132,0.016270078786417914,0.5500126856932129,0.9328085494287435
Choroid plexus epithelial cells,ENSG00000129654,0.011617055423714582,0.24105341141469197,0.9287545119250411
Choroid plexus epithelial cells,ENSG00000111907,0.027498881682568872,1.8130781993190437,0.9035472563829935
Choroid plexus epithelial cells,ENSG00000101096,0.03753290042522434,1.4756046471104804,0.8950870889916814
Choroid plexus epithelial cells,ENSG00000116016,0.03565354145742765,1.1130738008954357,0.8939854434047957
Choroid plexus epithelial cells,ENSG00000104369,0.026768738222234092,1.153279843300721,0.8743939892938891
Choroid plexus epithelial cells,ENSG00000165588,0.07633790891314442,1.1001084804642753,0.8720473856728868
Choroid plexus epithelial cells,ENSG00000119042,0.026653156756026804,1.410640383653875,0.8699467154644119
Choroid plexus epithelial cells,ENSG00000198517,0.008098315726365074,0.34078669768570446,0.8657214882284444
Choroid plexus epithelial cells,ENSG00000087903,0.013723306793944566,1.450841667110966,0.8543816025666676
Choroid plexus epithelial cells,ENSG00000184949,0.011454820432844038,0.7836917709622726,0.8422122016776498
Choroid plexus epithelial cells,ENSG00000137693,0.01865880529297787,1.4684102412597466,0.8363822606969278
Choroid plexus epithelial cells,ENSG00000182158,0.015311481770209374,1.2250975630294927,0.8209122031825211
Choroid plexus epithelial cells,ENSG00000122591,0.013579205753226856,1.0038465459208614,0.8137851593221048
Choroid plexus epithelial cells,ENSG00000141384,0.012229465029886344,0.774235963456367,0.8107611668202311
Choroid plexus epithelial cells,ENSG00000183833,0.014195725195113074,0.787530433183768,0.8069699060087926
Choroid plexus epithelial cells,ENSG00000187098,0.021669093430001236,1.5553653940309373,0.8057654443601994
Choroid plexus epithelial cells,ENSG00000109819,0.040094522565384635,2.0917759090653942,0.805458478051612
Choroid plexus epithelial cells,ENSG00000102547,0.018593651456972893,1.5826877780768418,0.8033739160857913
Choroid plexus epithelial cells,ENSG00000039560,0.011674487834670375,0.9247220669758937,0.7974443887106709
Choroid plexus epithelial cells,ENSG00000107249,0.014294690502536756,2.5971372148090626,0.7715053095885613
Choroid plexus epithelial cells,ENSG00000150907,0.01330684352019911,1.9423454583374196,0.7628971603707638
Choroid plexus epithelial cells,ENSG00000134215,0.024824375604994172,1.8848186681905654,0.7164390134908044
Choroid plexus epithelial cells,ENSG00000148200,0.0203290366538211,1.8520256642471007,0.7093767229933998
