,0
Astrocytes,126
Choroid plexus epithelial cells,131
Diencephalon GABAergic neurons,99
Diencephalon glutamatergic neurons,82
Ependymal cells,181
Fibroblasts,156
Mesencephalon GABAergic neurons,68
Mesencephalon glutamatergic neurons,154
Microglia,114
Oligodendrocyte precursor cells,95
Oligodendrocytes,69
Rhombencephalon GABAergic neurons,96
Rhombencephalon glutamatergic neurons,105
Splatter,161
Telencephalon GABAergic neurons,115
Telencephalon glutamatergic neurons,165
Vascular cells,140
