p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
2.03962061220325e-181	4.12437160358272	0.945	0.274	4.013973364816e-177	Astrocytes	ENSG00000079215
7.21083990551368e-179	3.75762081477125	0.9	0.226	1.41909329340509e-174	Astrocytes	ENSG00000198838
7.16947706369863e-178	4.88754208221193	0.574	0.055	1.41095308613589e-173	Astrocytes	ENSG00000111907
1.30759997930646e-176	5.45906983365929	0.384	0.012	2.57335675927511e-172	Astrocytes	ENSG00000114204
4.28061120147025e-175	4.04841546691733	0.907	0.242	8.42424284449345e-171	Astrocytes	ENSG00000185942
8.55258521032907e-174	6.47574846046481	0.343	0.007	1.68314876939276e-169	Astrocytes	ENSG00000266964
1.3474661394021e-173	3.72397111004507	0.54	0.042	2.65181336234333e-169	Astrocytes	ENSG00000104313
1.64481081966015e-173	3.22712249831886	0.588	0.052	3.23698769309118e-169	Astrocytes	ENSG00000103740
1.97438420407553e-173	5.93311926416998	0.446	0.024	3.88558811362064e-169	Astrocytes	ENSG00000115738
6.89191291481154e-172	5.54666226877269	0.464	0.029	1.35632846163491e-167	Astrocytes	ENSG00000130287
1.206258967464e-169	4.40349930331436	0.945	0.311	2.37391764796915e-165	Astrocytes	ENSG00000120885
1.37745704241382e-168	4.37269057067646	0.651	0.089	2.71083545947039e-164	Astrocytes	ENSG00000129244
3.77549103352778e-168	3.9803510438659	0.782	0.161	7.43016635398266e-164	Astrocytes	ENSG00000148672
7.75621756417228e-164	4.07845106252976	0.73	0.128	1.52642361662911e-159	Astrocytes	ENSG00000008394
2.06281691128865e-163	4.42410748354326	0.682	0.107	4.05962368141606e-159	Astrocytes	ENSG00000183579
1.3016527768625e-162	5.95330168793799	0.346	0.01	2.56165266486541e-158	Astrocytes	ENSG00000161509
4.22604424346638e-162	5.77857652308554	0.388	0.017	8.31685507114183e-158	Astrocytes	ENSG00000181938
4.53899211632229e-162	3.65513547032852	0.948	0.335	8.93273648492226e-158	Astrocytes	ENSG00000078295
1.42260190388346e-161	3.892104045356	0.709	0.117	2.79968054684265e-157	Astrocytes	ENSG00000262655
1.93589934891868e-160	7.66862921319318	0.287	0.003	3.80984991867196e-156	Astrocytes	ENSG00000129151
1.77518050647094e-159	4.71417206807038	0.377	0.015	3.49355523673482e-155	Astrocytes	ENSG00000092820
4.88742790641815e-159	3.72108508009803	0.941	0.374	9.61845811983092e-155	Astrocytes	ENSG00000153944
4.52358023679082e-157	3.63880103255976	0.754	0.146	8.90240590600433e-153	Astrocytes	ENSG00000158966
5.86937217967513e-157	3.70538380121424	0.692	0.108	1.15509244496007e-152	Astrocytes	ENSG00000165795
6.66787653997566e-157	5.82293246321694	0.374	0.016	1.31223810306721e-152	Astrocytes	ENSG00000125398
1.36695901423151e-156	1.21164589245903	0.917	0.212	2.69017534000761e-152	Astrocytes	ENSG00000106278
3.94407730443324e-156	7.20855793069585	0.284	0.003	7.76194413512461e-152	Astrocytes	ENSG00000132470
1.28447599938075e-155	2.84745070605618	0.433	0.025	2.52784876678131e-151	Astrocytes	ENSG00000163453
9.35319358336726e-153	5.00220622904476	0.495	0.045	1.84070849720668e-148	Astrocytes	ENSG00000113645
1.06368794292662e-152	4.67918548297772	0.381	0.018	2.09333787167959e-148	Astrocytes	ENSG00000114698
2.23509144099196e-152	3.4946925643523	0.983	0.737	4.39865995587218e-148	Astrocytes	ENSG00000134769
2.55347486354726e-152	4.8255865281604	0.547	0.062	5.02523853146101e-148	Astrocytes	ENSG00000134508
1.26647298431716e-151	7.33601707799544	0.27	0.002	2.49241883313618e-147	Astrocytes	ENSG00000004468
1.54199418819495e-150	4.84874539173823	0.426	0.028	3.03464456236765e-146	Astrocytes	ENSG00000166839
4.62689491693116e-150	3.69104453573539	0.637	0.094	9.10572919652053e-146	Astrocytes	ENSG00000119900
1.16668110149549e-149	4.85355276017654	0.37	0.017	2.29602840774312e-145	Astrocytes	ENSG00000152284
1.6290386597642e-149	3.65253457870016	0.886	0.276	3.20594808241595e-145	Astrocytes	ENSG00000152583
2.83642625228639e-149	3.09234490585911	0.913	0.299	5.58208686449961e-145	Astrocytes	ENSG00000148498
2.14171265288862e-148	4.81027131106299	0.394	0.022	4.2148905008848e-144	Astrocytes	ENSG00000169715
1.87833484178388e-147	5.98254240041959	0.308	0.008	3.69656296863067e-143	Astrocytes	ENSG00000102362
2.39566031313562e-147	3.98622721813996	0.747	0.171	4.71465949625089e-143	Astrocytes	ENSG00000148660
9.016325421502e-147	3.7268177013833	0.547	0.062	1.77441284295159e-142	Astrocytes	ENSG00000076555
6.52638292371493e-146	5.29621279191878	0.398	0.024	1.2843921593871e-141	Astrocytes	ENSG00000056487
7.7320689067718e-146	5.06200557594424	0.356	0.016	1.52167116085269e-141	Astrocytes	ENSG00000135424
1.1345045135496e-145	5.66367466959778	0.346	0.014	2.23270488266561e-141	Astrocytes	ENSG00000126785
3.00649075298519e-144	3.6405608846488	0.578	0.074	5.91677380187486e-140	Astrocytes	ENSG00000170525
5.3702379206337e-144	3.55865011864315	0.619	0.089	1.05686282278071e-139	Astrocytes	ENSG00000165029
6.99227518836671e-144	2.6966872732249	0.986	0.812	1.37607975707057e-139	Astrocytes	ENSG00000169862
1.07017227351725e-143	3.39962842511674	0.948	0.447	2.10609903428194e-139	Astrocytes	ENSG00000095637
4.51390567611695e-143	4.52297681525681	0.401	0.025	8.88336637059815e-139	Astrocytes	ENSG00000162390
6.91423843627478e-143	2.73844375360583	1	0.802	1.36072212425888e-138	Astrocytes	ENSG00000151322
7.70592310293293e-143	2.39364328516528	0.927	0.32	1.5165256666572e-138	Astrocytes	ENSG00000083067
1.16307600155747e-142	3.29892721668047	0.696	0.125	2.2889335710651e-138	Astrocytes	ENSG00000105854
1.7609330370723e-142	4.26545767277436	0.516	0.056	3.46551621695829e-138	Astrocytes	ENSG00000113657
2.32000864273337e-142	2.90710216437262	0.979	0.536	4.56577700889927e-138	Astrocytes	ENSG00000155816
2.3760948990753e-142	3.46860933954353	0.623	0.093	4.6761547613802e-138	Astrocytes	ENSG00000132613
4.92752844290323e-142	5.84141554265682	0.301	0.008	9.69737597563356e-138	Astrocytes	ENSG00000137561
8.19222747856802e-142	3.62493717746094	0.83	0.25	1.61223036778219e-137	Astrocytes	ENSG00000079691
1.04524405682859e-141	7.12960154860123	0.266	0.004	2.05704030383867e-137	Astrocytes	ENSG00000168309
5.91253880392914e-141	3.8617760699738	0.616	0.094	1.16358763661325e-136	Astrocytes	ENSG00000138771
6.77519225483394e-140	3.50842572411379	0.339	0.014	1.33335783575132e-135	Astrocytes	ENSG00000113721
7.50209105951332e-140	3.27582507114266	0.837	0.236	1.47641152051222e-135	Astrocytes	ENSG00000171791
2.27424827571804e-139	7.58699283984114	0.28	0.006	4.4757206066131e-135	Astrocytes	ENSG00000167772
4.27391593434073e-139	6.57627211337648	0.253	0.003	8.41106655878256e-135	Astrocytes	ENSG00000240583
2.18563477425914e-138	4.52902598066154	0.419	0.031	4.30132923574198e-134	Astrocytes	ENSG00000214402
2.56359729650525e-138	3.24661039407653	0.972	0.627	5.04515947952234e-134	Astrocytes	ENSG00000154310
2.6516569400896e-138	4.56605371228419	0.401	0.027	5.21846085809633e-134	Astrocytes	ENSG00000087903
4.9858184041647e-138	3.40337537469196	0.36	0.018	9.81209061939612e-134	Astrocytes	ENSG00000172164
