myAUC	avg_diff	power	avg_log2FC	pct.1	pct.2	cluster	gene
0.836	1.12397832204408	0.672	1.70563877025936	0.958	0.741	Astrocytes	ENSG00000109339
0.836	1.8224912808471	0.672	3.63880103255976	0.754	0.146	Astrocytes	ENSG00000158966
0.832	1.24753613174817	0.664	1.95232854492902	0.924	0.555	Astrocytes	ENSG00000154229
0.831	1.96172694046722	0.662	4.07845106252976	0.73	0.128	Astrocytes	ENSG00000008394
0.829	2.35336382184699	0.658	7.31394862312072	0.664	0.01	Astrocytes	ENSG00000115380
0.829	2.10592324223927	0.658	5.32352194628693	0.689	0.069	Astrocytes	ENSG00000143603
0.827	1.62449857577863	0.654	2.93876579272179	0.789	0.32	Astrocytes	ENSG00000198363
0.826	1.38365744699254	0.652	2.1431766811433	0.882	0.347	Astrocytes	ENSG00000183580
0.826	1.44492360503377	0.652	2.21316671199919	0.875	0.376	Astrocytes	ENSG00000185532
0.825	1.92070701007344	0.65	4.52008030403546	0.671	0.028	Astrocytes	ENSG00000151012
0.825	1.84194943569192	0.65	5.2371217053528	0.671	0.036	Astrocytes	ENSG00000152990
0.824	0.912371252335407	0.648	1.34236937181036	0.993	0.7	Astrocytes	ENSG00000181722
0.824	2.18742473385348	0.648	6.86815898764655	0.657	0.015	Astrocytes	ENSG00000149090
0.823	0.561822954209777	0.646	0.897644007940598	0.862	0.161	Astrocytes	ENSG00000110693
0.822	0.88208936778385	0.644	1.40032307724068	0.844	0.276	Astrocytes	ENSG00000123104
0.821	3.46270546005272	0.642	6.99527834720342	0.657	0.034	Astrocytes	ENSG00000172987
0.82	1.82889569388599	0.64	3.892104045356	0.709	0.117	Astrocytes	ENSG00000262655
0.819	1.23036509570806	0.638	2.10805349163957	0.834	0.345	Astrocytes	ENSG00000197442
0.818	1.43499444636096	0.636	2.51802756436214	0.81	0.432	Astrocytes	ENSG00000134982
0.818	2.00982450248602	0.636	6.6070284630753	0.647	0.016	Astrocytes	ENSG00000182902
0.817	1.44817963841817	0.634	2.44713887141848	0.779	0.242	Astrocytes	ENSG00000147408
0.816	1.7955236606438	0.632	4.66690769442521	0.668	0.055	Astrocytes	ENSG00000154930
0.815	1.85590672521151	0.63	4.85863600692667	0.657	0.044	Astrocytes	ENSG00000140022
0.814	2.80204794539625	0.628	5.41502108721572	0.682	0.083	Astrocytes	ENSG00000125148
0.813	1.34126592799692	0.626	2.26502164583197	0.834	0.354	Astrocytes	ENSG00000111961
0.813	2.10309769221775	0.626	4.42410748354326	0.682	0.107	Astrocytes	ENSG00000183579
0.813	0.644730150022371	0.626	0.940893622157029	0.983	0.555	Astrocytes	ENSG00000178568
0.811	1.7726066662583	0.622	5.35480684656415	0.644	0.034	Astrocytes	ENSG00000114790
0.811	1.63620795381259	0.622	3.15934686232948	0.737	0.179	Astrocytes	ENSG00000167614
