p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
2.06756191989698e-136	11.6108166636252	0.06	0	4.39212178643715e-132	N4:First pigment spot cells_72	bf14-1090
2.06756191989698e-136	10.9949642661307	0.06	0	4.39212178643715e-132	N4:First pigment spot cells_72	bf3-626
2.2111809941808e-136	9.75823641940335	0.063	0	4.69721178593828e-132	N4:First pigment spot cells_72	bf9-828
1.48559858595182e-132	5.58314998985539	0.107	0.003	3.15585707613746e-128	N4:First pigment spot cells_72	bf9-677
1.2744170649193e-130	2.42800901684842	0.803	0.266	2.70724417100806e-126	N4:First pigment spot cells_72	bf6-1208
2.52239324603176e-129	11.0591215129872	0.056	0	5.35831997254527e-125	N4:First pigment spot cells_72	bf12-649
2.81276394474463e-127	4.31679025595876	0.194	0.013	5.97515444782102e-123	N4:First pigment spot cells_72	bf4-1120
1.51668991930054e-126	2.84198534701561	0.411	0.061	3.22190439557014e-122	N4:First pigment spot cells_72	bf15-598
2.00275820297266e-126	2.28358345471455	0.856	0.31	4.25445925057481e-122	N4:First pigment spot cells_72	bf5-539
1.70854309510698e-125	6.73888052968425	0.097	0.002	3.62945809693576e-121	N4:First pigment spot cells_72	bf2-1574
3.16921289603391e-125	2.47180576250052	0.966	0.702	6.73235895504484e-121	N4:First pigment spot cells_72	bf1620-369
1.70916456425799e-122	3.80035454795778	0.339	0.045	3.63077828385325e-118	N4:First pigment spot cells_72	bf1-428
2.04601014766181e-120	1.29459485085323	0.727	0.181	4.34633935667798e-116	N4:First pigment spot cells_72	bf3-1891
2.42093989911523e-120	5.03655946814096	0.132	0.005	5.14280262769048e-116	N4:First pigment spot cells_72	bf18-479
1.99731941060369e-118	3.38820680337506	0.382	0.058	4.24290562394541e-114	N4:First pigment spot cells_72	bf5-676
3.34257799999399e-118	1.51722242893751	0.991	0.819	7.10063844538723e-114	N4:First pigment spot cells_72	bf2-25
1.42402759987931e-116	4.77117875770311	0.169	0.01	3.02506183042362e-112	N4:First pigment spot cells_72	bf4-862
6.85016935191798e-115	1.98254703832556	0.887	0.379	1.45518147542794e-110	N4:First pigment spot cells_72	bf9-531
3.81181758585999e-113	3.2952644457635	0.276	0.031	8.09744409764238e-109	N4:First pigment spot cells_72	bf6-443
