myAUC	avg_diff	power	avg_log2FC	pct.1	pct.2	cluster	gene
0.75	0.547184733754572	0.5	0.885764429622256	0.953	0.831	N4:First pigment spot cells_72	bf9-1257
0.749	0.780657813198864	0.498	1.70899629607725	0.743	0.3	N4:First pigment spot cells_72	bf19-91
0.748	0.426559674797409	0.496	0.646754114082593	0.997	0.956	N4:First pigment spot cells_72	bf18-259
0.747	0.85896478283635	0.494	2.13806129345784	0.658	0.197	N4:First pigment spot cells_72	bf19-506
0.746	0.96181615977053	0.492	1.84831395471488	0.787	0.487	N4:First pigment spot cells_72	bf2-1150
0.742	0.6446041557885	0.484	1.12002200562103	0.897	0.668	N4:First pigment spot cells_72	bf19-521
0.74	1.41839044352819	0.48	8.24321054498613	0.483	0.005	N4:First pigment spot cells_72	bf15-269
0.739	0.49620491441619	0.478	0.775083127278426	0.981	0.92	N4:First pigment spot cells_72	bf1-1827
0.739	0.657903839275055	0.478	1.29182802787704	0.843	0.486	N4:First pigment spot cells_72	bf12-720
0.736	0.533723744341332	0.472	0.870679689320318	0.947	0.506	N4:First pigment spot cells_72	bf17-689
0.732	0.497792556348042	0.464	0.782180116552762	0.978	0.872	N4:First pigment spot cells_72	bf6-763
0.728	0.69793340918806	0.456	1.41508399679589	0.771	0.423	N4:First pigment spot cells_72	bf12-900
0.727	1.78071784300344	0.454	3.81959374092667	0.498	0.049	N4:First pigment spot cells_72	bf10-707
0.724	0.71576096814736	0.448	1.44834468810171	0.734	0.365	N4:First pigment spot cells_72	bf3-945
0.719	0.97268647867084	0.438	1.97090896609341	0.712	0.396	N4:First pigment spot cells_72	bf8-982
0.719	0.464803826801019	0.438	0.713450185024026	0.984	0.793	N4:First pigment spot cells_72	bf15-458
0.718	0.750585169623656	0.436	2.04051984135699	0.602	0.199	N4:First pigment spot cells_72	bf2-891
0.718	0.5927057763857	0.436	1.18004560634064	0.806	0.454	N4:First pigment spot cells_72	bf18-1012
0.71	0.593306603623311	0.42	1.09939963224315	0.821	0.496	N4:First pigment spot cells_72	bf1-658
0.709	0.720250296160453	0.418	2.07334199831735	0.571	0.175	N4:First pigment spot cells_72	bf8-474
0.708	0.476251450908308	0.416	0.813794763557827	0.912	0.75	N4:First pigment spot cells_72	bf2-754
0.708	1.33022467062049	0.416	7.84932208933142	0.42	0.006	N4:First pigment spot cells_72	bf15-521
0.707	0.569207697513701	0.414	1.03261781341599	0.837	0.472	N4:First pigment spot cells_72	bf6-748
0.707	0.434497097395368	0.414	0.694758171824633	0.959	0.862	N4:First pigment spot cells_72	bf11-88
0.706	0.49978005818889	0.412	0.839654787397918	0.922	0.743	N4:First pigment spot cells_72	bf8-284
0.704	0.452422630399353	0.408	0.698590201626146	0.975	0.843	N4:First pigment spot cells_72	bf5-805
0.703	0.454779224881636	0.406	0.73761040805557	0.956	0.797	N4:First pigment spot cells_72	bf4-331
0.703	0.286187276739049	0.406	0.429403761500057	1	0.977	N4:First pigment spot cells_72	bf1-1044
0.702	0.657626497405497	0.404	1.70049835615384	0.611	0.246	N4:First pigment spot cells_72	bf4-1420
0.702	0.803904375342922	0.404	2.17617888510142	0.552	0.173	N4:First pigment spot cells_72	bf1-1332
0.702	0.912082437788752	0.404	1.60680381147657	0.687	0.361	N4:First pigment spot cells_72	bf11-865
0.858	1.66427046142401	0.716	2.73068519788594	0.897	0.296	N4:RhSp OligB+ cells_60	bf12-635
