source,target,value
bf_4,mm_C25-25: Fibroblasts,0.23442690081801124
bf_5,mm_C25-17: Ependymal-like,0.11640933832732772
bf_5,mm_C25-25: Fibroblasts,0.4189459461193027
bf_6,mm_C25-20: OPC,0.11717338469865586
bf_6,mm_C25-21: Immune,0.22429440989904306
bf_6,mm_C25-25: Fibroblasts,0.28468111261780665
bf_7,mm_C25-6: GLU-6,0.10146692708025802
bf_7,mm_C25-7: GLU-7,0.2169639140862348
bf_8,mm_C25-17: Ependymal-like,0.15718055672358225
bf_8,mm_C25-24: Mural+Endothelial,0.32781879779571244
bf_8,mm_C25-25: Fibroblasts,0.12044735289794888
bf_9,mm_C25-11: GABA-1,0.10923490229532132
bf_9,mm_C25-12: GABA-3,0.13455318739700337
bf_9,mm_C25-13: GABA-4,0.1332929889157675
bf_9,mm_C25-15: GABA-6,0.11275410898465017
bf_9,mm_C25-1: GLU-1,0.19813835731860846
bf_9,mm_C25-2: GLU-2,0.12458161612253323
bf_9,mm_C25-3: GLU-3,0.13049342723646792
bf_9,mm_C25-4: GLU-4,0.13920719825218644
bf_9,mm_C25-5: GLU-5,0.1231494516436954
